kecamatan;kelurahan;jumlah_kelurahan;batas_wilayah.utara;batas_wilayah.timur;batas_wilayah.selatan;batas_wilayah.barat;karakteristik_topografi;luas_wilayah;total_penduduk;link_peta
Genuk;Muktiharjo Lor;-;Kelurahan Terboyo Kulon;Kelurahan Gebangsari;Kelurahan Bangetayu Kulon dan Muktiharjo Kidul;Kelurahan Kaligawe;-;1.39;3873;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.05.1009.pdf
Genuk;Gebangsari;-;Kelurahan Terboyo Wetan dan Terboyo kulon;Kelurahan Genuksari;Kelurahan Bangetayu Kulon;Kelurahan Muktiharjo Lor;-;1.26;5046;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.05.1006.pdf
Genuk;Kudu;-;Kabupaten Demak;Kabupaten Demak;Kelurahan Penggaron Lor;Kelurahan Karangroto;-;2.02;11584;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.05.1002.pdf
Semarang Utara;Kuningan;-;Kelurahan Bandarharjo;Kelurahan Bandarharjo;Kelurahan Dadapsari dan Purwosari;Kelurahan Panggung Kidul dan Panggung Lor;-;0.85;14128;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.02.1005.pdf
Semarang Barat;Tawangmas;-;Kelurahan Tawangsari;Kelurahan Panggung Lor, Bulu Lor, dan Panggung Kidul;Kelurahan Krobokan, Gisikdrono, dan Karangayu;Kelurahan Tawangsari;-;1.38;7287;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.13.1015.pdf
Tugu;Mangunharjo;-;Laut Jawa;Kelurahan Mangkang Wetan;Kelurahan Wonosari;Kelurahan Mangkang Kulon;-;4.66;6614;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.16.1007.pdf
Genuk;Karangroto;-;Kabupaten Demak;Kelurahan Kudu;Kelurahan Sembungharjo;Kelurahan Banjardowo;-;2.17;16184;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.05.1003.pdf
Tugu;Mangkang Wetan;-;Laut Jawa;Kelurahan Randugarut;Kelurahan Wonosari;Kelurahan Mangunharjo;-;3.96;6301;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.16.1005.pdf
Genuk;Genuksari;-;Kelurahan Trimulyo dan Terboyo Wetan;Kelurahan Banjardowo dan Sembungharjo;Kelurahan Bangetayu Kulon;Kelurahan Gebangsari;-;2.26;17886;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.05.1004.pdf
Semarang Timur;Kemijen;-;Kelurahan Tanjung Mas;Kelurahan Tambakrejo;Kelurahan Rejomulyo, Mlatibaru, dan Mlatiharjo;Kelurahan Tanjung Mas;-;1.21;31413;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.03.1001.pdf
Genuk;Banjardowo;-;Kelurahan Trimulyo;Kelurahan Karangroto dan Kabupaten Demak;Kelurahan Sembungharjo;Kelurahan Genuksari;-;2.55;11567;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.05.1005.pdf
Genuk;Terboyo Kulon;-;Laut Jawa;Kelurahan Terboyo Wetan;Kelurahan Muktiharjo Lor dan Gebangsari;Kelurahan Tanjung Mas dan Tambakrejo;-;2.75;566;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.05.1012.pdf
Semarang Barat;Tambakharjo;-;Laut Jawa;Kelurahan Tawangsari;Kelurahan Kalibanteng Kulon, Tawangsari, dan Krapyak;Kelurahan Jerakah dan Tugurejo;-;8.07;3423;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.13.1004.pdf
Semarang Barat;Tawangsari;-;Laut Jawa;Kelurahan Panggung Lor dan Tawangmas;Kelurahan Gisikdrono dan Kalibanteng Kulon;Kelurahan Tambakharjo;-;3.83;6512;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.13.1014.pdf
Genuk;Terboyo Wetan;-;Laut Jawa;Kelurahan Trimulyo;Kelurahan Gebangsari dan Genuksari;Kelurahan Terboyo kulon;-;1.95;1416;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.05.1013.pdf
Semarang Utara;Panggung Lor;-;Laut Jawa;Kelurahan Bandarharjo dan Kuningan;Kelurahan Panggung Kidul;Kelurahan Tawangmas dan Tawangsari;-;2.41;12461;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.02.1006.pdf
Gayamsari;Tambakrejo;-;Kelurahan Terboyo Kulon;Kelurahan Terboyo Kulon;Kelurahan Kaligawe;Kelurahan Kemijen;-;1.02;9498;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.04.1001.pdf
Semarang Utara;Bandarharjo;-;Laut Jawa;Kelurahan Tanjung Mas;Kelurahan Dadapsari;Kelurahan Panggung Lor dan Kuningan;-;2.24;19757;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.02.1001.pdf
Tugu;Mangkang Kulon;-;Laut Jawa;Kelurahan Mangunharjo;Kelurahan Wonosari;Kabupaten Kendal;-;4.51;3853;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.16.1006.pdf
Semarang Utara;Tanjung Mas;-;Laut Jawa;Kelurahan Terboyo Kulon, Rejomulyo, dan Kemijen;Kelurahan Purwodinatan;Kelurahan Bandarharjo;-;3.95;27108;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.02.1008.pdf
Genuk;Trimulyo;-;Laut Jawa;Kabupaten Demak;Kelurahan Genuksari dan Banjardowo;Kelurahan Terboyo Wetan;-;3.34;3640;https://raw.githubusercontent.com/magetanciti/magetanciti.github.io/main/file/PETA%20BATAS%20KELURAHAN_33.74.05.1007.pdf
